Ile wierszy,Ile atrybutów,Ilość pustych wartości,Minimalna ilość pustych w kolumach,Średnia ilosc pustych w kolumnach,Maksymalna ilosc pustych w kolumnach,Minimalna srednia w kolumnach,Srednia średnich,Maksymalna srednia w kolumnach,Minimalna mediana,Średnia mediana danych,Maksymalna mediana,Minimalna moda,Średnia moda danych,Maksymalna moda,Minimalne odchylenie standardowe,Średnie odchylenie standardowe,Maksymalne odchylenie standardowe,Minimalna wariancja,Średnia wariancja,Maksymalna wariancja,Minimalna skośność,Średnia skośność,Maksymalna skośność,Minimalna kurtoza,Średnia kurtoza,Maksymalna kurtoza,Minimalna wartosc danych,Maksymalna wartość w danych,Minimalny kwartyl 25%,Średni kwartyl 25%,Maksymalny kwartyl 25%,Minimalny kwartyl 50%,Średni kwartyl 50%,Maksymalny kwartyl 50%,Minimalny kwartyl 75%,Średni kwartyl 75%,Maksymalny kwartyl 75%,Minimalny rozstęp,Średni rozstęp,Maksymalny rozstęp,Ilość unikalnych wartości atrybutu decyzyjnego,Minimalna liczba unikalnych wartości,Średnia ilość unikalnych wartości atrybutów,Maksymalna liczba unikalnych wartości,Rozkład normalny Shapiro,Rozkład normalny D’Agostino’s,Rozkład normalny Anderson-Darling,Metoda_metryka,Parametr,Wynik miary
4585,26,0,0,0.0,0,-0.1648,0.9192,16.5413,-0.2435,0.984,18.0,-0.902,0.8402,22.0,0.0395,0.3905,5.8308,0.0016,1.3534,33.9983,-17.2957,-0.5949,2.3658,-0.3155,14.7784,350.9574,-0.902,24.0,-0.2992,0.6901,13.0,-0.2435,0.984,18.0,-0.1112,1.1572,21.0,0.6025,1.9752,23.0,0,2,3704.6154,4585,0,0,0,Agglomerative cosine,7.0,0.84
5464,18,179,0,9.9444,178,0.1389,812.9029,5397.1888,0.0,453.9331,4500.0,0.0,233.2259,3000.0,0.2037,1161.3777,3942.4205,0.0415,3165971.6079,15542679.6615,-3.7334,3.584,13.4158,-1.6472,48.3202,300.2415,0.0,76406.2075,0.0,183.0583,2200.0,0.0,453.9331,4500.0,0.1111,1016.3911,7500.0,1.0,19761.9025,76406.1884,0,7,1704.4706,5428,0,0,0,Agglomerative euclidean,13.0,0.67
2536,74,14938,0,201.8649,300,-10.5075,292.4361,10164.1787,-10.4,292.9579,10160.0,-10.58,292.1562,10150.0,0.1672,7.4713,77.4566,0.028,214.1115,5999.521,-1.3081,0.1604,7.3793,-0.9763,1.8729,77.7188,-135.0,10350.0,-20.0,287.8672,10130.0,-10.4,292.9579,10160.0,-7.4,297.7207,10190.0,0.99,47.1329,485.0,2,2,312.0685,1689,0,0,0,KMeans cosine,8.0,0.57
4601,60,0,0,0.0,0,0.0054,5.9546,283.2893,0.0,1.9317,95.0,0.0,0.1186,5.0,0.0763,14.6952,606.3479,0.0058,6892.9302,367657.7161,0.4338,10.8267,31.0621,-1.8126,232.9386,1480.6421,0.0,15841.0,0.0,0.7218,35.0,0.0,1.9317,95.0,0.0,5.4431,266.0,1.0,467.5203,15840.0,2,2,255.8983,2161,0,0,0,Agglomerative cosine,6.0,0.79
210,14,390,0,27.8571,103,0.5,210.6852,1412.467,0.0,132.245,941.45,0.0,198.8129,1412.47,1.4894,246.2793,1611.2643,2.2183,366702.602,2596172.7034,-3.596,0.8754,4.6704,-1.2076,5.059,21.8269,0.0,9869.7,0.0,50.3954,270.25,0.0,132.245,941.45,0.0,242.2389,1686.025,8.2,1483.5,9853.3,0,15,119.9286,210,0,1,0,Agglomerative euclidean,8.0,0.58
361,25,137,0,5.48,34,1.64,195.7419,707.9503,1.44,193.3696,707.95,0.0,137.0796,875.0,0.5133,79.1632,160.933,0.2635,7677.6324,25899.4147,-0.7181,0.2586,2.8062,-1.3658,-0.0119,13.8609,0.0,973.6,0.86,126.8704,594.41,1.44,193.3696,707.95,1.85,263.5448,875.0,4.24,286.4944,582.49,0,134,292.56,361,0,1,0,KMeans cosine,2.0,0.59
891,7,0,0,0.0,0,1.6801,145.1298,445.0,1.0,140.8143,445.0,0.0,39.5429,225.0,0.1622,86.8426,257.3538,0.0263,19468.7196,66231.0,-1.8856,-0.0098,0.8759,-1.2,0.4967,8.6348,0.0,890.0,1.0,70.6571,223.5,1.0,140.8143,445.0,2.0,217.9714,667.5,1.7,305.8143,890.0,0,3,308.4286,891,0,1,0,KMeans cosine,8.0,0.46
2617,14,0,0,0.0,0,-10.4364,17964.7964,250040.2935,-9.345,17149.3071,238618.8535,-14.112,5079.2098,71019.0,0.0773,6150.657,85310.495,0.006,519889434.1199,7277880549.8394,-2.1533,0.728,5.5928,-1.2,8.9663,69.9638,-37.719,1644773.3333,-12.3996,14816.8147,206644.9167,-9.345,17149.3071,238618.8535,-6.9846,19714.5748,273856.6999,0.9261,114323.2687,1597613.3333,0,2,2089.6429,2617,0,0,0,Agglomerative euclidean,2.0,0.94
100,15,0,0,0.0,0,-11.908,16447.9537,228161.9167,-11.7709,17087.1249,237101.4838,-19.18,12136.3838,167904.5417,0.0,1715.6542,23956.1297,0.0,40992677.3751,573896151.7866,-0.6998,0.1374,2.1499,-1.8001,-0.257,6.1203,-19.18,265659.718,-14.3046,15160.4155,210196.5193,-11.7709,17087.1249,237101.4838,-9.8045,17829.8736,247456.5781,0.0,6998.0449,97755.1763,0,1,86.2857,100,0,0,0,Agglomerative euclidean,2.0,0.64
5217,24,0,0,0.0,0,318.7961,1332.7717,2609.0,302.0,1269.6087,2609.0,1.0,10.2174,36.0,223.925,879.785,1506.1625,50142.3959,899279.3237,2268525.5,-0.4046,0.1585,0.558,-1.3894,-1.1457,-0.8147,1.0,5217.0,1.0,567.913,1305.0,302.0,1269.6087,2609.0,509.0,2083.4348,3913.0,713.0,2959.8261,5216.0,0,714,2960.8261,5217,0,0,0,DBScan cosine,0.06,0.55
9879,40,0,0,0.0,0,-33.6203,112503922.7886,4500084044.8455,-28.0,112774824.83,4510920346.0,-428.0,107385756.405,4295358071.0,0.2169,689697.211,27573278.4909,0.047,19007142841424.69,760285686737577.8,-1.4591,0.8299,5.5902,-2.0004,4.1387,39.8596,-11467.0,4527990640.0,-1596.0,112084109.7725,4483301169.0,-28.0,112774824.83,4510920346.0,0.0,113045387.2538,4521733208.5,1.0,5819118.06,232632569.0,0,2,1529.725,9879,0,0,0,Agglomerative euclidean,4.0,0.67
6080,14,0,0,0.0,0,0.8633,204.0863,1796.6442,1.0,165.5385,1708.5,1.0,8.4615,50.0,0.3435,184.96,1168.0736,0.118,133152.4366,1364395.8818,-2.1159,4.5825,51.7055,-1.1365,244.2658,3164.8552,0.0,24606.0,1.0,69.7692,761.0,1.0,165.5385,1708.5,1.0,301.5577,2757.25,1.0,2483.0,24596.0,0,2,625.0769,4069,0,0,0,Agglomerative cosine,5.0,0.65
924,20,470,0,23.5,228,0.3496,506.6067,6182.7045,0.0,273.767,2004.5,0.0,155.8674,2000.0,0.4771,931.1359,16795.9381,0.2276,14857039.8042,282103538.1231,-0.1946,1.0033,5.7028,-1.9098,2.4645,34.7939,0.0,132966.782,0.0,169.5681,1996.0,0.0,273.767,2004.5,1.0,441.0363,4194.214,1.0,7163.4991,132965.782,0,2,269.5263,915,0,0,0,Agglomerative euclidean,9.0,0.67
3519,18,10717,0,595.3889,3488,0.0051,155886344.3548,2650058778.4202,0.0,155886342.4259,2650058778.42,0.0,155886345.2494,2650058778.42,0.0713,49659679.2418,844211603.7063,0.0051,4.1923131284710776e+16,7.126932318323727e+17,-0.9358,5.8144,27.5981,-1.8412,120.0181,907.4721,0.0,7000000009.0,0.0,155886325.9388,2650058778.42,0.0,155886342.4259,2650058778.42,0.0,155886469.2035,2650058778.42,1.0,352941928.8235,6000000007.0,0,2,204.1765,2373,0,0,0,DBScan euclidean,1963567.0,0.9
7279,8,3245,0,405.625,3245,4.3275,304977171.3863,2439810101.6486,3.0,137500912.4462,1100000056.0,2.0,125000966.5378,1000000417.0,0.8815,246300439.327,1970400758.5667,0.7771,4.853098936709308e+17,3.882479149360276e+18,-1.1476,0.622,2.8459,-1.1179,0.8546,9.332,1.0,6100000090.0,2.0,125000944.6307,1000000351.0,3.0,137500912.4462,1100000056.0,5.0,512501089.1214,4100000029.0,3.1747,637501423.8642,5100000089.0,0,16,993.875,2760,0,0,0,Agglomerative euclidean,2.0,0.84
215,15,67,0,4.4667,67,1.3116,20642.9709,288655.4068,1.0,20642.6721,288655.41,1.0,20640.9364,288655.41,0.4642,5536.4371,77457.9001,0.2155,428551913.6184,5999726288.2041,-0.2358,0.5546,4.2888,-1.9931,1.0972,28.0124,1.0,940000.0,1.0,17879.1746,250000.0,1.0,20642.6721,288655.41,2.0,20645.8475,288655.41,1.0,52873.9207,740000.0,0,2,47.0,205,0,0,0,KMeans cityblock,5.0,0.68
53,7,0,0,0.0,0,1.0,8.8585,23.9623,0.0,8.1667,24.0,0.0,4.3333,21.0,0.0,5.4839,14.5879,0.0,52.3815,212.8062,-0.123,0.2078,0.9211,-1.3834,-0.9712,0.0,0.0,49.0,0.0,4.1667,12.0,0.0,8.1667,24.0,1.0,13.6667,36.0,0.0,18.3333,49.0,0,1,19.3333,50,0,1,0,Agglomerative cosine,2.0,0.87
244,12,0,0,0.0,0,1.2948,150.5562,1159.2582,1.0,59.711,300.0,0.0,28.1141,126.978,0.5929,680.4491,6384.1851,0.3515,3751962.2047,40757819.1964,-0.3583,5.2539,13.9486,-1.2663,73.2816,206.9555,0.0,94865.0,0.0,33.72,126.9277,1.0,59.711,300.0,1.6125,106.6991,694.5,3.99,10037.7722,94854.0,0,18,148.8182,243,0,0,0,Agglomerative cosine,2.0,0.98
1595,5,0,0,0.0,0,0.1928,0.6235,1.8257,0.0087,0.1031,0.1664,0.008,0.075,0.1386,0.4661,2.7196,9.1702,0.2172,21.2816,84.0921,6.511,18.4741,27.4946,46.452,518.2159,948.7201,0.0015,100.0,0.0063,0.072,0.1307,0.0087,0.1031,0.1664,0.0126,0.1619,0.2573,11.3244,38.5773,99.9985,0,370,975.5,1293,0,0,0,Agglomerative cosine,8.0,0.95
4000,85,0,0,0.0,0,0.0015,1.7525,24.253,0.0,1.7765,30.0,0.0,1.5882,33.0,0.0387,1.1571,13.0228,0.0015,3.6867,169.5939,-0.6901,6.4304,42.987,-1.9616,132.5081,2077.5513,0.0,41.0,0.0,0.8588,10.0,0.0,1.7765,30.0,0.0,2.4235,35.0,1.0,6.7412,40.0,0,2,7.2118,40,0,0,0,Agglomerative cosine,16.0,0.39
666,5,0,0,0.0,0,0.0,224.4399,1060.6862,0.0,194.0,925.0,0.0,28.4,140.0,0.0,164.1598,765.5656,0.0,117506.4802,586090.76,0.0,0.5703,1.953,-1.2302,0.1322,2.917,0.0,3056.0,0.0,101.4,485.0,0.0,194.0,925.0,0.0,299.5,1410.75,0.0,646.0,3024.0,0,1,138.6,517,0,0,0,Agglomerative cosine,2.0,0.87
148,5,0,0,0.0,0,0.0,979.5162,4773.027,0.0,906.8,4397.5,0.0,1307.6,6413.0,0.0,267.1477,1274.3435,0.0,325193.6387,1623951.455,-0.4687,-0.1321,0.0,-2.0276,-1.0705,0.0,0.0,6475.0,0.0,814.65,4004.5,0.0,906.8,4397.5,0.0,1276.05,6200.0,0.0,1016.8,4884.0,0,1,61.8,145,0,1,0,KMeans cosine,2.0,0.7
1972,6,0,0,0.0,0,5.7931,107.596,356.5685,0.0,16.6667,58.5,0.0,0.3333,1.0,4.9002,364.9448,1235.8258,24.0122,384494.1742,1527265.4438,0.0,2.6823,5.7523,-1.6717,12.848,33.2556,0.0,6865.0,0.0,5.9583,29.75,0.0,16.6667,58.5,0.0,42.5417,98.0,16.0,2256.6667,6865.0,0,2,155.1667,374,0,0,0,Agglomerative euclidean,9.0,0.86
